GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,House/Bungalow,Flat/Apartment/BedSit,Caravan/Mobile home/Temperory,% House/Bungalow,% Flat/Apartment/BedSit,% Caravan/Mobile home/Temperory
N00001649,20137,Bluefield,95HH02,Carrickfergus,NI,134,0,0,100,0,0
N00001650,20138,Bluefield,95HH02,Carrickfergus,NI,119,0,0,100,0,0
N00001651,20139,Bluefield,95HH02,Carrickfergus,NI,134,0,0,100,0,0
N00001652,20140,Bluefield,95HH02,Carrickfergus,NI,131,1,0,99.2,0.8,0
N00001653,20141,Bluefield,95HH02,Carrickfergus,NI,139,0,0,100,0,0
N00001654,20142,Bluefield,95HH02,Carrickfergus,NI,134,6,0,95.7,4.3,0
N00001655,20143,Boneybefore,95HH03,Carrickfergus,NI,161,13,0,92.5,7.5,0
N00001656,20144,Boneybefore,95HH03,Carrickfergus,NI,120,3,0,97.6,2.4,0
N00001657,20145,Boneybefore,95HH03,Carrickfergus,NI,119,0,0,100,0,0
N00001658,20146,Boneybefore,95HH03,Carrickfergus,NI,97,1,0,99,1,0
N00001659,20147,Boneybefore,95HH03,Carrickfergus,NI,103,10,0,91.2,8.8,0
N00001660,20148,Boneybefore,95HH03,Carrickfergus,NI,123,0,0,100,0,0
N00001661,20149,Burleigh Hill,95HH04,Carrickfergus,NI,122,0,0,100,0,0
N00001662,20150,Burleigh Hill,95HH04,Carrickfergus,NI,124,1,0,99.2,0.8,0
N00001663,20151,Burleigh Hill,95HH04,Carrickfergus,NI,128,0,0,100,0,0
N00001664,20152,Burleigh Hill,95HH04,Carrickfergus,NI,121,0,0,100,0,0
N00001665,20153,Burleigh Hill,95HH04,Carrickfergus,NI,146,7,0,95.4,4.6,0
N00001666,20154,Burleigh Hill,95HH04,Carrickfergus,NI,125,0,0,100,0,0
N00001667,20155,Burleigh Hill,95HH04,Carrickfergus,NI,117,0,0,100,0,0
N00001668,20156,Burleigh Hill,95HH04,Carrickfergus,NI,122,37,0,76.7,23.3,0
N00001669,20157,Burleigh Hill,95HH04,Carrickfergus,NI,119,0,0,100,0,0
N00001670,20158,Clipperstown,95HH05,Carrickfergus,NI,101,28,0,78.3,21.7,0
N00001671,20159,Clipperstown,95HH05,Carrickfergus,NI,120,13,0,90.2,9.8,0
N00001672,20160,Clipperstown,95HH05,Carrickfergus,NI,133,5,0,96.4,3.6,0
N00001673,20161,Clipperstown,95HH05,Carrickfergus,NI,164,18,0,90.1,9.9,0
N00001674,20162,Clipperstown,95HH05,Carrickfergus,NI,96,22,0,81.4,18.6,0
N00001675,20163,Clipperstown,95HH05,Carrickfergus,NI,123,2,0,98.4,1.6,0
N00001676,20164,Clipperstown,95HH05,Carrickfergus,NI,105,9,0,92.1,7.9,0
N00001677,20165,Eden,95HH06,Carrickfergus,NI,163,0,1,99.4,0,0.6
N00001678,20166,Eden,95HH06,Carrickfergus,NI,148,1,2,98,0.7,1.3
N00001679,20167,Eden,95HH06,Carrickfergus,NI,134,0,0,100,0,0
N00001680,20168,Eden,95HH06,Carrickfergus,NI,171,0,0,100,0,0
N00001681,20169,Eden,95HH06,Carrickfergus,NI,119,40,0,74.8,25.2,0
N00001682,20170,Eden,95HH06,Carrickfergus,NI,127,1,0,99.2,0.8,0
N00001683,20171,Eden,95HH06,Carrickfergus,NI,148,12,0,92.5,7.5,0
N00001684,20172,Eden,95HH06,Carrickfergus,NI,289,0,0,100,0,0
N00001685,20173,Eden,95HH06,Carrickfergus,NI,121,0,0,100,0,0
N00001686,20174,Eden,95HH06,Carrickfergus,NI,115,1,0,99.1,0.9,0
N00001687,20175,Eden,95HH06,Carrickfergus,NI,118,0,0,100,0,0
N00001688,20176,Gortalee,95HH07,Carrickfergus,NI,128,38,0,77.1,22.9,0
N00001689,20177,Gortalee,95HH07,Carrickfergus,NI,66,106,0,38.4,61.6,0
N00001690,20178,Gortalee,95HH07,Carrickfergus,NI,138,5,0,96.5,3.5,0
N00001691,20179,Gortalee,95HH07,Carrickfergus,NI,94,73,0,56.3,43.7,0
N00001692,20180,Gortalee,95HH07,Carrickfergus,NI,87,40,0,68.5,31.5,0
N00001693,20181,Greenisland,95HH08,Carrickfergus,NI,96,37,0,72.2,27.8,0
N00001694,20182,Greenisland,95HH08,Carrickfergus,NI,108,1,0,99.1,0.9,0
N00001695,20183,Greenisland,95HH08,Carrickfergus,NI,126,31,0,80.3,19.7,0
N00001696,20184,Greenisland,95HH08,Carrickfergus,NI,151,36,0,80.7,19.3,0
N00001697,20185,Greenisland,95HH08,Carrickfergus,NI,116,12,0,90.6,9.4,0
N00001698,20186,Greenisland,95HH08,Carrickfergus,NI,114,22,0,83.8,16.2,0
N00001699,20187,Greenisland,95HH08,Carrickfergus,NI,149,32,0,82.3,17.7,0
N00001700,20188,Greenisland,95HH08,Carrickfergus,NI,104,23,0,81.9,18.1,0
N00001701,20189,Killycrot,95HH09,Carrickfergus,NI,85,21,0,80.2,19.8,0
N00001702,20190,Killycrot,95HH09,Carrickfergus,NI,117,34,0,77.5,22.5,0
N00001703,20191,Killycrot,95HH09,Carrickfergus,NI,344,324,1,51.4,48.4,0.1
N00001704,20192,Killycrot,95HH09,Carrickfergus,NI,239,290,0,45.2,54.8,0
N00001705,20193,Killycrot,95HH09,Carrickfergus,NI,124,11,0,91.9,8.1,0
N00001706,20194,Knockagh,95HH10,Carrickfergus,NI,172,0,0,100,0,0
N00001707,20195,Knockagh,95HH10,Carrickfergus,NI,148,1,0,99.3,0.7,0
N00001708,20196,Knockagh,95HH10,Carrickfergus,NI,237,9,0,96.3,3.7,0
N00001709,20197,Knockagh,95HH10,Carrickfergus,NI,110,25,0,81.5,18.5,0
N00001710,20198,Knockagh,95HH10,Carrickfergus,NI,139,0,0,100,0,0
N00001711,20199,Knockagh,95HH10,Carrickfergus,NI,140,2,0,98.6,1.4,0
N00001712,20200,Love Lane,95HH11,Carrickfergus,NI,140,23,0,85.9,14.1,0
N00001713,20201,Love Lane,95HH11,Carrickfergus,NI,70,43,0,61.9,38.1,0
N00001714,20202,Love Lane,95HH11,Carrickfergus,NI,225,41,0,84.6,15.4,0
N00001715,20203,Love Lane,95HH11,Carrickfergus,NI,112,16,0,87.5,12.5,0
N00001716,20204,Milebush,95HH12,Carrickfergus,NI,125,0,0,100,0,0
N00001717,20205,Milebush,95HH12,Carrickfergus,NI,133,1,0,99.3,0.7,0
N00001718,20206,Milebush,95HH12,Carrickfergus,NI,128,1,0,99.2,0.8,0
N00001719,20207,Milebush,95HH12,Carrickfergus,NI,123,3,0,97.6,2.4,0
N00001720,20208,Milebush,95HH12,Carrickfergus,NI,122,1,0,99.2,0.8,0
N00001721,20209,Northland,95HH13,Carrickfergus,NI,117,5,0,95.9,4.1,0
N00001722,20210,Northland,95HH13,Carrickfergus,NI,128,25,0,83.7,16.3,0
N00001723,20211,Northland,95HH13,Carrickfergus,NI,128,4,0,97,3,0
N00001724,20212,Northland,95HH13,Carrickfergus,NI,109,0,0,100,0,0
N00001725,20213,Northland,95HH13,Carrickfergus,NI,117,4,0,96.7,3.3,0
N00001726,20214,Sunnylands,95HH14,Carrickfergus,NI,117,3,0,97.5,2.5,0
N00001727,20215,Sunnylands,95HH14,Carrickfergus,NI,116,2,0,98.3,1.7,0
N00001728,20216,Sunnylands,95HH14,Carrickfergus,NI,122,21,0,85.3,14.7,0
N00001729,20217,Sunnylands,95HH14,Carrickfergus,NI,129,13,0,90.8,9.2,0
N00001730,20218,Sunnylands,95HH14,Carrickfergus,NI,54,85,0,38.8,61.2,0
N00001731,20219,Sunnylands,95HH14,Carrickfergus,NI,87,40,0,68.5,31.5,0
N00001732,20220,Victoria,95HH15,Carrickfergus,NI,329,29,0,91.9,8.1,0
N00001733,20221,Victoria,95HH15,Carrickfergus,NI,121,3,0,97.6,2.4,0
N00001734,20222,Victoria,95HH15,Carrickfergus,NI,120,2,0,98.4,1.6,0
N00001735,20223,Victoria,95HH15,Carrickfergus,NI,129,0,0,100,0,0
N00001736,20224,Victoria,95HH15,Carrickfergus,NI,114,88,0,56.4,43.6,0
N00001737,20225,Victoria,95HH15,Carrickfergus,NI,133,43,0,75.6,24.4,0
N00001738,20226,Whitehead,95HH16,Carrickfergus,NI,136,0,0,100,0,0
N00001739,20227,Whitehead,95HH16,Carrickfergus,NI,145,11,0,92.9,7.1,0
N00001740,20228,Whitehead,95HH16,Carrickfergus,NI,286,12,0,96,4,0
N00001741,20229,Whitehead,95HH16,Carrickfergus,NI,105,14,0,88.2,11.8,0
N00001742,20230,Whitehead,95HH16,Carrickfergus,NI,100,22,0,82,18,0
N00001743,20231,Whitehead,95HH16,Carrickfergus,NI,78,54,0,59.1,40.9,0
N00001744,20232,Woodburn,95HH17,Carrickfergus,NI,130,0,0,100,0,0
N00001745,20233,Woodburn,95HH17,Carrickfergus,NI,122,0,0,100,0,0
N00001746,20234,Woodburn,95HH17,Carrickfergus,NI,119,0,0,100,0,0
N00001747,20235,Woodburn,95HH17,Carrickfergus,NI,285,23,3,91.6,7.4,1
N00001748,20236,Woodburn,95HH17,Carrickfergus,NI,151,0,0,100,0,0
N00001749,20237,Woodburn,95HH17,Carrickfergus,NI,125,0,1,99.2,0,0.8
N00001750,20238,Ballyhanwood,95II01,Castlereagh,NI,97,25,0,79.5,20.5,0
N00001751,20239,Ballyhanwood,95II01,Castlereagh,NI,117,5,0,95.9,4.1,0
N00001752,20240,Ballyhanwood,95II01,Castlereagh,NI,130,1,0,99.2,0.8,0
N00001753,20241,Ballyhanwood,95II01,Castlereagh,NI,136,4,0,97.1,2.9,0
N00001754,20242,Ballyhanwood,95II01,Castlereagh,NI,132,1,0,99.2,0.8,0
N00001755,20243,Ballyhanwood,95II01,Castlereagh,NI,136,1,0,99.3,0.7,0
N00001756,20244,Ballyhanwood,95II01,Castlereagh,NI,135,0,0,100,0,0
N00001757,20245,Ballyhanwood,95II01,Castlereagh,NI,83,42,0,66.4,33.6,0
N00001758,20246,Ballyhanwood,95II01,Castlereagh,NI,136,0,0,100,0,0
N00001759,20247,Ballyhanwood,95II01,Castlereagh,NI,122,2,0,98.4,1.6,0
N00001760,20248,Beechill,95II02,Castlereagh,NI,384,12,0,97,3,0
N00001761,20249,Beechill,95II02,Castlereagh,NI,119,0,0,100,0,0
N00001762,20250,Beechill,95II02,Castlereagh,NI,84,52,0,61.8,38.2,0
N00001763,20251,Beechill,95II02,Castlereagh,NI,496,63,0,88.7,11.3,0
N00001764,20252,Beechill,95II02,Castlereagh,NI,68,71,0,48.9,51.1,0
N00001765,20253,Beechill,95II02,Castlereagh,NI,316,179,0,63.8,36.2,0
N00001766,20254,Beechill,95II02,Castlereagh,NI,112,21,0,84.2,15.8,0
N00001767,20255,Cairnshill,95II03,Castlereagh,NI,111,0,0,100,0,0
N00001768,20256,Cairnshill,95II03,Castlereagh,NI,113,2,0,98.3,1.7,0
N00001769,20257,Cairnshill,95II03,Castlereagh,NI,121,0,0,100,0,0
N00001770,20258,Cairnshill,95II03,Castlereagh,NI,90,0,0,100,0,0
N00001771,20259,Cairnshill,95II03,Castlereagh,NI,160,0,0,100,0,0
N00001772,20260,Cairnshill,95II03,Castlereagh,NI,121,1,0,99.2,0.8,0
N00001773,20261,Cairnshill,95II03,Castlereagh,NI,107,2,0,98.2,1.8,0
N00001774,20262,Cairnshill,95II03,Castlereagh,NI,99,32,0,75.6,24.4,0
N00001775,20263,Cairnshill,95II03,Castlereagh,NI,117,4,0,96.7,3.3,0
N00001776,20264,Cairnshill,95II03,Castlereagh,NI,116,6,0,95.1,4.9,0
N00001777,20265,Cairnshill,95II03,Castlereagh,NI,136,1,0,99.3,0.7,0
N00001778,20266,Carrowreagh,95II04,Castlereagh,NI,115,2,0,98.3,1.7,0
N00001779,20267,Carrowreagh,95II04,Castlereagh,NI,103,22,0,82.4,17.6,0
N00001780,20268,Carrowreagh,95II04,Castlereagh,NI,242,22,0,91.7,8.3,0
N00001781,20269,Carrowreagh,95II04,Castlereagh,NI,126,2,0,98.4,1.6,0
N00001782,20270,Carrowreagh,95II04,Castlereagh,NI,124,1,0,99.2,0.8,0
N00001783,20271,Carrowreagh,95II04,Castlereagh,NI,132,5,0,96.4,3.6,0
N00001784,20272,Carrowreagh,95II04,Castlereagh,NI,89,47,0,65.4,34.6,0
N00001785,20273,Carrowreagh,95II04,Castlereagh,NI,133,7,0,95,5,0
N00001786,20274,Carrowreagh,95II04,Castlereagh,NI,134,6,0,95.7,4.3,0
N00001787,20275,Carrowreagh,95II04,Castlereagh,NI,97,37,0,72.4,27.6,0
N00001788,20276,Carrowreagh,95II04,Castlereagh,NI,129,0,0,100,0,0
N00001789,20277,Carrowreagh,95II04,Castlereagh,NI,137,20,0,87.3,12.7,0
N00001790,20278,Carryduff East,95II05,Castlereagh,NI,135,1,0,99.3,0.7,0
N00001791,20279,Carryduff East,95II05,Castlereagh,NI,161,0,0,100,0,0
N00001792,20280,Carryduff East,95II05,Castlereagh,NI,97,0,0,100,0,0
N00001793,20281,Carryduff East,95II05,Castlereagh,NI,133,13,0,91.1,8.9,0
N00001794,20282,Carryduff East,95II05,Castlereagh,NI,337,47,0,87.8,12.2,0
N00001795,20283,Carryduff East,95II05,Castlereagh,NI,124,0,0,100,0,0
N00001796,20284,Carryduff East,95II05,Castlereagh,NI,130,1,0,99.2,0.8,0
N00001797,20285,Carryduff East,95II05,Castlereagh,NI,121,32,0,79.1,20.9,0
N00001798,20286,Carryduff West,95II06,Castlereagh,NI,146,5,0,96.7,3.3,0
N00001799,20287,Carryduff West,95II06,Castlereagh,NI,128,0,2,98.5,0,1.5
N00001800,20288,Carryduff West,95II06,Castlereagh,NI,129,0,0,100,0,0
N00001801,20289,Carryduff West,95II06,Castlereagh,NI,133,0,0,100,0,0
N00001802,20290,Carryduff West,95II06,Castlereagh,NI,127,0,0,100,0,0
N00001803,20291,Carryduff West,95II06,Castlereagh,NI,125,0,0,100,0,0
N00001804,20292,Carryduff West,95II06,Castlereagh,NI,137,1,0,99.3,0.7,0
N00001805,20293,Carryduff West,95II06,Castlereagh,NI,330,61,0,84.4,15.6,0
N00001806,20294,Cregagh,95II07,Castlereagh,NI,109,21,0,83.8,16.2,0
N00001807,20295,Cregagh,95II07,Castlereagh,NI,101,16,0,86.3,13.7,0
N00001808,20296,Cregagh,95II07,Castlereagh,NI,92,17,0,84.4,15.6,0
N00001809,20297,Cregagh,95II07,Castlereagh,NI,96,18,0,84.2,15.8,0
N00001810,20298,Cregagh,95II07,Castlereagh,NI,79,46,0,63.2,36.8,0
N00001811,20299,Cregagh,95II07,Castlereagh,NI,95,13,0,88,12,0
N00001812,20300,Cregagh,95II07,Castlereagh,NI,78,158,0,33.1,66.9,0
N00001813,20301,Cregagh,95II07,Castlereagh,NI,51,59,0,46.4,53.6,0
N00001814,20302,Downshire,95II08,Castlereagh,NI,225,148,0,60.3,39.7,0
N00001815,20303,Downshire,95II08,Castlereagh,NI,131,2,0,98.5,1.5,0
N00001816,20304,Downshire,95II08,Castlereagh,NI,183,61,0,75,25,0
N00001817,20305,Downshire,95II08,Castlereagh,NI,112,1,0,99.1,0.9,0
N00001818,20306,Downshire,95II08,Castlereagh,NI,110,5,0,95.7,4.3,0
N00001819,20307,Downshire,95II08,Castlereagh,NI,130,10,0,92.9,7.1,0
N00001820,20308,Dundonald,95II09,Castlereagh,NI,118,38,0,75.6,24.4,0
N00001821,20309,Dundonald,95II09,Castlereagh,NI,228,122,0,65.1,34.9,0
N00001822,20310,Dundonald,95II09,Castlereagh,NI,122,24,0,83.6,16.4,0
N00001823,20311,Dundonald,95II09,Castlereagh,NI,159,15,0,91.4,8.6,0
N00001824,20312,Dundonald,95II09,Castlereagh,NI,118,0,0,100,0,0
N00001825,20313,Dundonald,95II09,Castlereagh,NI,106,1,0,99.1,0.9,0
N00001826,20314,Dundonald,95II09,Castlereagh,NI,121,0,0,100,0,0
N00001827,20315,Dundonald,95II09,Castlereagh,NI,119,0,0,100,0,0
N00001828,20316,Dundonald,95II09,Castlereagh,NI,108,0,0,100,0,0
N00001829,20317,Dundonald,95II09,Castlereagh,NI,110,0,0,100,0,0
N00001830,20318,Enler,95II10,Castlereagh,NI,137,12,0,91.9,8.1,0
N00001831,20319,Enler,95II10,Castlereagh,NI,118,1,0,99.2,0.8,0
N00001832,20320,Enler,95II10,Castlereagh,NI,75,41,0,64.7,35.3,0
N00001833,20321,Enler,95II10,Castlereagh,NI,92,90,0,50.5,49.5,0
N00001834,20322,Enler,95II10,Castlereagh,NI,100,7,0,93.5,6.5,0
N00001835,20323,Enler,95II10,Castlereagh,NI,107,23,0,82.3,17.7,0
N00001836,20324,Enler,95II10,Castlereagh,NI,119,5,0,96,4,0
N00001837,20325,Enler,95II10,Castlereagh,NI,112,10,0,91.8,8.2,0
N00001838,20326,Enler,95II10,Castlereagh,NI,101,29,0,77.7,22.3,0
N00001839,20327,Galwally,95II11,Castlereagh,NI,148,26,0,85.1,14.9,0
N00001840,20328,Galwally,95II11,Castlereagh,NI,113,0,0,100,0,0
N00001841,20329,Galwally,95II11,Castlereagh,NI,145,0,0,100,0,0
N00001842,20330,Galwally,95II11,Castlereagh,NI,126,1,0,99.2,0.8,0
N00001843,20331,Galwally,95II11,Castlereagh,NI,104,38,0,73.2,26.8,0
N00001844,20332,Galwally,95II11,Castlereagh,NI,131,0,0,100,0,0
N00001845,20333,Galwally,95II11,Castlereagh,NI,124,0,0,100,0,0
N00001846,20334,Galwally,95II11,Castlereagh,NI,124,2,0,98.4,1.6,0
N00001847,20335,Gilnahirk,95II12,Castlereagh,NI,120,1,0,99.2,0.8,0
N00001848,20336,Gilnahirk,95II12,Castlereagh,NI,120,5,0,96,4,0
N00001849,20337,Gilnahirk,95II12,Castlereagh,NI,124,6,0,95.4,4.6,0
N00001850,20338,Gilnahirk,95II12,Castlereagh,NI,223,53,0,80.8,19.2,0
N00001851,20339,Gilnahirk,95II12,Castlereagh,NI,115,8,0,93.5,6.5,0
N00001852,20340,Gilnahirk,95II12,Castlereagh,NI,124,2,0,98.4,1.6,0
N00001853,20341,Gilnahirk,95II12,Castlereagh,NI,139,12,0,92.1,7.9,0
N00001854,20342,Graham's Bridge,95II13,Castlereagh,NI,50,80,0,38.5,61.5,0
N00001855,20343,Graham's Bridge,95II13,Castlereagh,NI,118,29,0,80.3,19.7,0
N00001856,20344,Graham's Bridge,95II13,Castlereagh,NI,99,20,0,83.2,16.8,0
N00001857,20345,Graham's Bridge,95II13,Castlereagh,NI,85,51,0,62.5,37.5,0
N00001858,20346,Graham's Bridge,95II13,Castlereagh,NI,103,10,0,91.2,8.8,0
N00001859,20347,Graham's Bridge,95II13,Castlereagh,NI,89,38,0,70.1,29.9,0
N00001860,20348,Graham's Bridge,95II13,Castlereagh,NI,83,33,0,71.6,28.4,0
N00001861,20349,Graham's Bridge,95II13,Castlereagh,NI,83,42,0,66.4,33.6,0
N00001862,20350,Graham's Bridge,95II13,Castlereagh,NI,141,10,0,93.4,6.6,0
N00001863,20351,Graham's Bridge,95II13,Castlereagh,NI,93,49,0,65.5,34.5,0
N00001864,20352,Hillfoot,95II14,Castlereagh,NI,147,9,0,94.2,5.8,0
N00001865,20353,Hillfoot,95II14,Castlereagh,NI,243,5,0,98,2,0
N00001866,20354,Hillfoot,95II14,Castlereagh,NI,112,2,0,98.2,1.8,0
N00001867,20355,Hillfoot,95II14,Castlereagh,NI,149,1,0,99.3,0.7,0
N00001868,20356,Hillfoot,95II14,Castlereagh,NI,133,0,0,100,0,0
N00001869,20357,Hillfoot,95II14,Castlereagh,NI,116,8,1,92.8,6.4,0.8
N00001870,20358,Hillfoot,95II14,Castlereagh,NI,133,0,0,100,0,0
N00001871,20359,Knockbracken,95II15,Castlereagh,NI,139,0,0,100,0,0
N00001872,20360,Knockbracken,95II15,Castlereagh,NI,80,33,0,70.8,29.2,0
N00001873,20361,Knockbracken,95II15,Castlereagh,NI,287,0,0,100,0,0
N00001874,20362,Knockbracken,95II15,Castlereagh,NI,132,1,0,99.2,0.8,0
N00001875,20363,Knockbracken,95II15,Castlereagh,NI,131,3,0,97.8,2.2,0
N00001876,20364,Knockbracken,95II15,Castlereagh,NI,135,1,0,99.3,0.7,0
N00001877,20365,Knockbracken,95II15,Castlereagh,NI,129,0,0,100,0,0
N00001878,20366,Knockbracken,95II15,Castlereagh,NI,126,2,0,98.4,1.6,0
N00001879,20367,Knockbracken,95II15,Castlereagh,NI,138,1,0,99.3,0.7,0
N00001880,20368,Lisnasharragh,95II16,Castlereagh,NI,119,1,0,99.2,0.8,0
N00001881,20369,Lisnasharragh,95II16,Castlereagh,NI,372,63,0,85.5,14.5,0
N00001882,20370,Lisnasharragh,95II16,Castlereagh,NI,123,0,0,100,0,0
N00001883,20371,Lisnasharragh,95II16,Castlereagh,NI,120,0,0,100,0,0
N00001884,20372,Lisnasharragh,95II16,Castlereagh,NI,127,1,0,99.2,0.8,0
N00001885,20373,Lower Braniel,95II17,Castlereagh,NI,91,48,0,65.5,34.5,0
N00001886,20374,Lower Braniel,95II17,Castlereagh,NI,53,93,0,36.3,63.7,0
N00001887,20375,Lower Braniel,95II17,Castlereagh,NI,83,61,0,57.6,42.4,0
N00001888,20376,Lower Braniel,95II17,Castlereagh,NI,116,30,0,79.5,20.5,0
N00001889,20377,Lower Braniel,95II17,Castlereagh,NI,71,49,0,59.2,40.8,0
N00001890,20378,Lower Braniel,95II17,Castlereagh,NI,218,46,0,82.6,17.4,0
N00001891,20379,Lower Braniel,95II17,Castlereagh,NI,142,15,0,90.4,9.6,0
N00001892,20380,Lower Braniel,95II17,Castlereagh,NI,130,2,0,98.5,1.5,0
N00001893,20381,Minnowburn,95II18,Castlereagh,NI,69,53,0,56.6,43.4,0
N00001894,20382,Minnowburn,95II18,Castlereagh,NI,128,33,0,79.5,20.5,0
N00001895,20383,Minnowburn,95II18,Castlereagh,NI,145,20,0,87.9,12.1,0
N00001896,20384,Minnowburn,95II18,Castlereagh,NI,226,72,1,75.6,24.1,0.3
N00001897,20385,Minnowburn,95II18,Castlereagh,NI,104,31,0,77,23,0
N00001898,20386,Minnowburn,95II18,Castlereagh,NI,99,30,0,76.7,23.3,0
N00001899,20387,Minnowburn,95II18,Castlereagh,NI,55,82,0,40.1,59.9,0
N00001900,20388,Moneyreagh,95II19,Castlereagh,NI,129,1,0,99.2,0.8,0
N00001901,20389,Moneyreagh,95II19,Castlereagh,NI,136,1,0,99.3,0.7,0
N00001902,20390,Moneyreagh,95II19,Castlereagh,NI,148,0,0,100,0,0
N00001903,20391,Moneyreagh,95II19,Castlereagh,NI,126,0,0,100,0,0
N00001904,20392,Moneyreagh,95II19,Castlereagh,NI,100,6,1,93.5,5.6,0.9
N00001905,20393,Moneyreagh,95II19,Castlereagh,NI,115,1,0,99.1,0.9,0
N00001906,20394,Moneyreagh,95II19,Castlereagh,NI,132,1,0,99.2,0.8,0
N00001907,20395,Moneyreagh,95II19,Castlereagh,NI,137,0,1,99.3,0,0.7
N00001908,20396,Moneyreagh,95II19,Castlereagh,NI,144,3,0,98,2,0
N00001909,20397,Moneyreagh,95II19,Castlereagh,NI,113,9,0,92.6,7.4,0
N00001910,20398,Moneyreagh,95II19,Castlereagh,NI,119,2,0,98.3,1.7,0
N00001911,20399,Newtownbreda,95II20,Castlereagh,NI,100,24,0,80.6,19.4,0
N00001912,20400,Newtownbreda,95II20,Castlereagh,NI,96,120,0,44.4,55.6,0
N00001913,20401,Newtownbreda,95II20,Castlereagh,NI,125,0,0,100,0,0
N00001914,20402,Newtownbreda,95II20,Castlereagh,NI,128,2,0,98.5,1.5,0
N00001915,20403,Newtownbreda,95II20,Castlereagh,NI,260,28,0,90.3,9.7,0
N00001916,20404,Newtownbreda,95II20,Castlereagh,NI,127,5,0,96.2,3.8,0
N00001917,20405,Newtownbreda,95II20,Castlereagh,NI,121,3,0,97.6,2.4,0
N00001918,20406,Newtownbreda,95II20,Castlereagh,NI,116,0,0,100,0,0
N00001919,20407,Tullycarnet,95II21,Castlereagh,NI,127,2,0,98.4,1.6,0
N00001920,20408,Tullycarnet,95II21,Castlereagh,NI,136,1,0,99.3,0.7,0
N00001921,20409,Tullycarnet,95II21,Castlereagh,NI,116,7,0,94.3,5.7,0
N00001922,20410,Tullycarnet,95II21,Castlereagh,NI,108,29,0,78.8,21.2,0
N00001923,20411,Tullycarnet,95II21,Castlereagh,NI,54,93,0,36.7,63.3,0
N00001924,20412,Tullycarnet,95II21,Castlereagh,NI,147,3,0,98,2,0
N00001925,20413,Tullycarnet,95II21,Castlereagh,NI,102,23,0,81.6,18.4,0
N00001926,20414,Tullycarnet,95II21,Castlereagh,NI,121,23,0,84,16,0
N00001927,20415,Upper Braniel,95II22,Castlereagh,NI,93,17,0,84.5,15.5,0
N00001928,20416,Upper Braniel,95II22,Castlereagh,NI,92,29,0,76,24,0
N00001929,20417,Upper Braniel,95II22,Castlereagh,NI,176,12,0,93.6,6.4,0
N00001930,20418,Upper Braniel,95II22,Castlereagh,NI,82,32,0,71.9,28.1,0
N00001931,20419,Upper Braniel,95II22,Castlereagh,NI,107,8,0,93,7,0
N00001932,20420,Upper Braniel,95II22,Castlereagh,NI,118,0,0,100,0,0
N00001933,20421,Upper Braniel,95II22,Castlereagh,NI,124,0,0,100,0,0
N00001934,20422,Upper Braniel,95II22,Castlereagh,NI,110,19,0,85.3,14.7,0
N00001935,20423,Wynchurch,95II23,Castlereagh,NI,129,0,0,100,0,0
N00001936,20424,Wynchurch,95II23,Castlereagh,NI,126,0,0,100,0,0
N00001937,20425,Wynchurch,95II23,Castlereagh,NI,129,0,0,100,0,0
N00001938,20426,Wynchurch,95II23,Castlereagh,NI,112,22,0,83.6,16.4,0
N00001939,20427,Wynchurch,95II23,Castlereagh,NI,121,14,0,89.6,10.4,0
N00001940,20428,Wynchurch,95II23,Castlereagh,NI,149,2,0,98.7,1.3,0
N00001941,20429,Wynchurch,95II23,Castlereagh,NI,131,0,0,100,0,0
N00001942,20430,Agivey,95JJ01,Coleraine,NI,159,1,0,99.4,0.6,0
N00001943,20431,Agivey,95JJ01,Coleraine,NI,164,1,1,98.8,0.6,0.6
N00001944,20432,Agivey,95JJ01,Coleraine,NI,139,0,0,100,0,0
N00001945,20433,Agivey,95JJ01,Coleraine,NI,158,1,0,99.4,0.6,0
N00001946,20434,Agivey,95JJ01,Coleraine,NI,135,0,0,100,0,0
N00001947,20435,Agivey,95JJ01,Coleraine,NI,169,0,0,100,0,0
N00001948,20436,Atlantic,95JJ02,Coleraine,NI,86,7,0,92.5,7.5,0
N00001949,20437,Atlantic,95JJ02,Coleraine,NI,387,51,0,88.4,11.6,0
N00001950,20438,Atlantic,95JJ02,Coleraine,NI,101,16,0,86.3,13.7,0
N00001951,20439,Atlantic,95JJ02,Coleraine,NI,119,33,0,78.3,21.7,0
N00001952,20440,Atlantic,95JJ02,Coleraine,NI,160,2,0,98.8,1.2,0
N00001953,20441,Atlantic,95JJ02,Coleraine,NI,79,41,0,65.8,34.2,0
N00001954,20442,Atlantic,95JJ02,Coleraine,NI,118,0,0,100,0,0
N00001955,20443,Atlantic,95JJ02,Coleraine,NI,238,143,0,62.5,37.5,0
N00001956,20444,Ballysally,95JJ03,Coleraine,NI,79,14,0,84.9,15.1,0
N00001957,20445,Ballysally,95JJ03,Coleraine,NI,112,3,0,97.4,2.6,0
N00001958,20446,Ballysally,95JJ03,Coleraine,NI,105,32,0,76.6,23.4,0
N00001959,20447,Ballysally,95JJ03,Coleraine,NI,98,27,0,78.4,21.6,0
N00001960,20448,Ballysally,95JJ03,Coleraine,NI,118,21,0,84.9,15.1,0
N00001961,20449,Ballysally,95JJ03,Coleraine,NI,147,0,0,100,0,0
